departure_time,arrival_time,driver_code,dtg_status,driving_time,driving_distance,speed_max,speed_avg,rpm_max,rpm_avg,volt_min,volt_max,overspeed_time,accumulated_distance
2022-11-14 9:51:19,2022-11-14 9:54:15,6987201,0,176,1,19,4.3,1166,600.6,190,285,0,1051941
2022-11-14 11:31:01,2022-11-14 11:32:45,6987201,0,104,0,9,3.8,928,615.3,280,285,0,1051941
2022-11-14 11:38:33,2022-11-14 12:54:15,6987201,11,4542,80,102,63.4,1623,996.8,275,285,0,1052021
2022-11-14 14:12:25,2022-11-14 14:13:09,6987201,0,44,0,9,3.7,773,514.0,280,285,0,1052021
2022-11-14 14:17:58,2022-11-14 15:48:59,6987201,11,5461,82,109,53.3,1625,940.2,225,285,0,1052103
2022-11-14 16:40:07,2022-11-14 16:41:39,6987201,0,92,0,14,4.3,1343,539.7,275,285,0,1052103
2022-11-14 16:48:02,2022-11-14 18:44:15,6987201,11,6973,117,108,60.2,1525,1002.8,215,285,0,1052220
2022-11-14 20:03:49,2022-11-14 20:08:37,6987201,0,288,0,10,0.6,995,506.8,275,285,0,1052220
2022-11-14 20:14:33,2022-11-14 20:36:17,6987201,11,1304,18,102,48.5,1510,917.7,275,285,0,1052238
2022-11-14 20:50:12,2022-11-14 22:03:07,6987201,11,4375,96,109,78.3,1529,1124.3,275,285,0,1052334
2022-11-15 8:10:32,2022-11-15 10:02:33,6987201,11,6721,81,107,43.2,1628,898.1,275,290,0,1052415
2022-11-15 10:06:28,2022-11-15 10:07:39,6987201,0,71,0,11,4.0,1195,591.4,210,285,0,1052415
2022-11-15 10:12:11,2022-11-15 10:40:09,6987201,11,1678,0,7,0.1,1059,1023.4,275,285,0,1052415
2022-11-15 11:05:41,2022-11-15 11:16:07,6987201,13,626,0,0,0.0,0,0.0,245,250,0,1052415
2022-11-15 11:16:51,2022-11-15 11:21:27,6987201,0,276,0,11,1.1,1126,237.2,245,280,0,1052415
2022-11-15 11:29:48,2022-11-15 12:52:17,6987201,0,4949,81,108,58.8,1602,966.8,275,285,0,1052496
2022-11-15 14:32:18,2022-11-15 14:33:35,6987201,0,77,0,12,5.2,1166,658.6,280,285,0,1052496
2022-11-15 14:38:21,2022-11-15 16:17:09,6987201,0,5928,111,109,66.7,1691,1037.2,275,285,0,1052607
2022-11-15 17:26:19,2022-11-15 17:27:23,6987201,0,64,0,8,1.3,862,527.2,280,285,0,1052607
2022-11-15 17:33:31,2022-11-15 18:04:29,6987201,0,1858,18,100,34.2,1532,827.5,275,285,0,1052625
2022-11-15 18:09:19,2022-11-15 19:46:43,6987201,0,5844,110,109,67.5,1540,1049.2,270,285,0,1052735
2022-11-15 20:43:21,2022-11-15 20:43:37,6987201,0,16,0,6,2.7,719,521.9,280,285,0,1052735
2022-11-15 20:47:53,2022-11-15 22:25:53,6987201,0,5880,110,108,67.2,1653,1036.6,275,285,0,1052845
2022-11-15 22:25:56,2022-11-15 22:28:05,6987201,0,129,0,0,0.0,0,0.0,250,260,0,1052845
2022-11-16 7:41:35,2022-11-16 7:41:43,6987201,0,8,0,5,1.9,904,548.6,280,285,0,1052845
2022-11-16 8:24:14,2022-11-16 9:08:21,6987201,0,2647,18,105,24.2,1514,709.1,275,285,0,1052863
2022-11-16 9:17:44,2022-11-16 10:46:33,6987201,0,5329,100,109,66.9,1616,1063.5,205,285,0,1052963
2022-11-16 11:42:32,2022-11-16 11:43:01,6987201,0,29,0,6,2.4,787,530.2,280,285,0,1052963
2022-11-16 11:48:44,2022-11-16 13:34:31,6987201,0,6347,110,108,62.4,1679,1012.3,275,285,0,1053073
2022-11-16 14:38:36,2022-11-16 14:40:59,6987201,0,143,0,10,1.2,1017,288.2,225,285,0,1053073
2022-11-16 14:43:46,2022-11-16 15:08:13,6987201,0,1467,18,105,43.2,1695,890.3,275,285,0,1053091
2022-11-16 15:18:24,2022-11-16 17:00:19,6987201,0,6115,93,108,54.3,1524,992.4,275,285,0,1053184
2022-11-16 17:48:30,2022-11-16 19:49:23,6987201,0,7253,128,108,63.4,1586,1037.1,275,285,0,1053312
2022-11-16 19:49:27,2022-11-16 20:08:59,6987201,0,1172,0,0,0.0,1059,1011.7,200,285,0,1053312
2022-11-17 6:17:42,2022-11-17 6:19:17,6987201,0,95,0,0,0.0,744,491.1,200,285,0,1053312
2022-11-17 6:42:28,2022-11-17 7:09:13,6987201,0,1605,18,105,39.7,1492,835.1,275,285,0,1053330
2022-11-17 7:17:32,2022-11-17 8:32:15,6987201,0,4483,93,108,74.0,1543,1095.9,200,285,0,1053423
2022-11-17 9:59:26,2022-11-17 9:59:51,6987201,0,25,0,7,2.0,729,525.8,250,285,0,1053423
2022-11-17 10:07:15,2022-11-17 11:36:13,6987201,0,5338,81,107,53.9,1527,961.9,210,285,0,1053504
2022-11-17 11:40:43,2022-11-17 11:42:21,6987201,0,98,0,11,3.9,1182,593.8,205,285,0,1053504
2022-11-17 12:39:43,2022-11-17 12:40:11,6987201,0,28,0,9,3.8,947,631.1,280,285,0,1053504
2022-11-17 12:47:08,2022-11-17 14:09:55,6987201,0,4967,81,108,58.5,1521,981.8,245,285,0,1053585
2022-11-17 15:42:11,2022-11-17 15:42:31,6987201,0,20,0,10,2.4,1084,596.6,280,285,0,1053585
2022-11-17 15:48:51,2022-11-17 17:47:23,6987201,0,7112,128,109,64.6,1601,1032.1,275,285,0,1053713
2022-11-17 18:52:28,2022-11-17 18:53:57,6987201,0,89,0,11,1.7,1184,570.8,210,285,0,1053713
2022-11-17 18:59:56,2022-11-17 19:22:23,6987201,0,1347,18,101,47.0,1550,903.9,275,285,0,1053731
2022-11-17 19:33:33,2022-11-17 21:02:39,6987201,0,5346,100,110,66.8,1563,1050.0,275,285,0,1053831
2022-11-17 21:10:31,2022-11-17 21:12:53,6987201,0,142,0,0,0.0,0,0.0,250,255,0,1053831
2022-11-18 6:45:12,2022-11-18 8:47:05,6987201,0,7313,81,108,39.7,1597,887.5,275,285,0,1053912
